,pl_101,pl_102,pl_104,pl_106,pl_107,pl_111,pl_112,pl_113,pl_118,pl_119
LOC111346822,3.537577727,3.8650672,3.577617388,3.744687205,3.229700008,3.503376203,3.653282839,3.381092453,3.300475702,3.648546108
LOC111327736,2.890238328,3.113299236,2.561076974,2.474336443,2.633828683,2.255974713,2.27197878,2.537295351,2.586639579,2.759854029
LOC111327487,3.683092878,3.396050606,3.763589189,3.733197193,3.031699863,3.427736686,3.455191101,3.765809015,3.588524111,3.400278179
LOC111325339,3.263075872,3.158883436,3.266908028,3.313077959,2.981714089,2.810364741,3.162634525,3.403317272,2.663039037,3.390364476
LOC111325259,5.596339155,5.573429863,6.126414904,6.478419129,6.016200308,6.362773393,6.293483696,6.360763187,6.213452887,5.78861158
LOC111339837,4.151445913,4.11628724,3.94867624,3.306283265,3.84612194,4.455277559,4.090505727,4.188879813,3.774044382,3.94800686
LOC111333068,2.47267937,2.261952323,2.271401044,2.418343835,2.357213451,2.474555082,2.203591102,2.509623574,2.417667435,2.15578658
LOC111332979,1.367587893,1.604204939,1.551348888,1.806342938,1.777709334,1.488397648,1.227751191,1.671300907,1.568359556,1.68966151
LOC111320584,3.481440595,3.603691079,3.36869119,3.938430467,4.022839285,3.74205798,3.771760102,4.285915598,4.27607379,4.267611578
LOC111346562,6.623548217,6.940605358,6.362486052,6.328906379,6.309851462,6.882958348,7.771268367,7.841196457,7.662374575,7.448768414
LOC111333439,3.168470516,3.414256126,3.276767307,3.028543159,2.715384485,2.996188198,3.365217124,2.926749815,2.686002737,2.748750851
LOC111333523,3.059089125,2.701749394,3.196970044,3.347149831,2.393281728,2.654117493,3.159945179,3.078445145,2.59949884,2.80910721
LOC111335282,2.834598535,2.926866361,2.834360955,2.267151368,2.276250464,2.634929876,2.562101354,3.072528142,2.950935958,2.890751764
LOC111334226,1.9573706,2.329581749,2.312307641,2.99803428,1.938525882,1.75763437,1.770495829,2.046792364,1.844323432,2.067252358
LOC111334316,3.409313505,3.419297727,2.868318705,3.265680375,2.841362755,3.558914493,3.283102337,3.403755119,2.806233364,3.388890378
LOC111332730,4.909337901,4.892892115,4.084960322,4.665954198,4.281360732,4.523420637,4.633878484,4.705130658,4.700165661,4.694860604
LOC111340737,7.611652457,7.825409112,7.605110364,7.656112683,7.634006544,7.833069807,7.820287426,7.659744023,7.701428659,7.662641611
LOC111342389,1.414368511,1.744116683,1.427148223,1.52966481,1.27308805,1.70015817,1.103710056,1.154853708,1.210822372,1.658268929
LOC111340736,3.771942666,3.357823741,3.897846858,3.794650514,4.299644414,3.853054942,3.591491253,3.392220092,3.911967677,3.845967127
LOC111341672,4.444053634,4.047775005,4.190485069,4.28187715,4.29902487,4.388147094,4.010481686,4.206083505,4.17697715,4.242023655
LOC111334037,3.932872077,3.995495991,4.066593648,3.676590873,3.656756176,3.684628138,4.1301117,3.902090291,4.007900384,3.729132986
LOC111319657,2.146878874,2.255787513,1.695919302,1.626594303,1.537325863,1.503467212,1.649792142,2.009145244,2.493659894,2.376940179
LOC111320021,6.267114902,6.418435704,6.336111041,5.881325473,6.503503752,6.889305863,6.724707908,6.678020642,6.71357832,6.810543945
LOC111319763,4.307499957,4.33944786,4.065417932,3.980167455,3.628199717,3.604565199,4.278266173,4.110639786,4.193602298,4.42052725
LOC111340644,1.79063534,1.796126416,1.846274675,1.809784424,2.062350131,1.777667825,2.210640237,2.023164415,1.850625382,2.328281942
LOC111329439,5.462792317,5.732187777,5.555120049,5.621848938,5.368048347,5.957274938,5.543912699,5.778067405,5.672675022,5.769861543
LOC111329530,2.372038841,2.320255688,2.338869023,2.734469055,2.792684423,2.450217585,2.470711638,2.50555529,2.205237554,2.3026371
