"","pl_101","pl_102","pl_104","pl_106","pl_107","pl_111","pl_112","pl_113","pl_118","pl_119"
"LOC111325008",2,8,0,0,0,0,2,1,1,0
"LOC111324823",3,0,0,1,0,1,0,2,0,1
"LOC111324919",8,9,4,5,2,9,0,9,2,5
"LOC111320621",38,42,5,5,9,15,12,14,7,15
"LOC111343830",11,10,6,3,4,0,4,5,2,8
"LOC111334136",82,96,21,12,42,58,31,34,28,32
"LOC111331476",9,13,5,6,6,6,4,14,6,3
"LOC111336888",1,0,0,0,0,0,0,0,0,0
"LOC111320603",0,0,0,0,1,0,0,1,0,0
"LOC111337057",0,0,0,0,0,0,0,1,0,0
"LOC111320559",17,15,11,3,34,8,17,12,9,16
"LOC111320548",0,0,0,0,0,0,0,0,0,0
"LOC111319127",0,1,0,0,0,0,0,0,0,0
"LOC111342577",1,0,0,0,0,0,0,4,1,1
"LOC111342482",4,2,1,1,0,4,3,1,3,3
"LOC111346660",2,0,0,0,0,0,1,2,1,0
"LOC111338616",0,0,0,0,0,0,0,0,0,0
"LOC111337431",0,0,0,0,1,0,0,0,0,0
"LOC111338702",0,0,0,0,0,0,0,1,0,3
"LOC111329814",10,9,1,4,6,7,3,6,0,5
"LOC111337602",22,13,11,5,9,6,16,13,18,16
"LOC111329713",0,0,0,0,0,0,0,0,0,0
"LOC111330903",6,5,0,0,2,1,2,3,7,2
"LOC111324491",9,7,2,3,4,5,2,6,5,5
"LOC111324579",6,3,3,4,2,1,0,3,0,1
"LOC111324673",0,0,0,0,0,0,1,0,0,0
"LOC111319231",25,17,5,6,11,15,18,13,16,20
"LOC111341508",5,6,2,2,2,1,3,1,1,2
"LOC111320643",4,4,1,3,0,2,0,4,5,0
"LOC111346367",46,63,17,6,15,23,26,34,26,31
"LOC111347274",0,0,0,0,0,0,0,0,0,0
"LOC111344271",1,0,0,0,0,1,0,0,0,0
"LOC111344491",10,9,4,2,5,4,0,8,4,6
"LOC111344177",231,246,63,60,62,100,94,242,156,169
"LOC111344080",14,9,5,5,4,2,4,8,3,11
"LOC111347580",44,36,15,13,22,19,25,37,27,29
"LOC111318921",9,4,0,2,2,2,0,5,1,3
"LOC111320651",5,14,2,3,4,4,6,2,4,5
"LOC111337783",4,8,2,4,3,3,2,6,0,6
"LOC111337964",5,4,0,0,5,5,5,7,4,5
"LOC111330737",0,0,1,0,1,0,1,0,1,0
"LOC111330819",254,290,123,64,97,144,161,276,114,182
"LOC111336069",2,0,1,1,0,1,3,0,0,2
"LOC111335979",7,13,4,3,4,1,3,4,11,12
"LOC111328816",39,33,11,10,20,20,17,39,24,11
"LOC111328739",7,6,4,2,4,3,4,4,1,7
"LOC111328904",4,12,3,1,3,2,4,4,5,0
"LOC111337875",24,19,9,2,6,11,7,12,4,10
"LOC111333769",7,10,5,5,3,3,2,7,8,6
"LOC111327340",20,10,6,1,5,1,6,7,7,13
"LOC111335887",33,35,29,16,17,15,9,44,21,10
"LOC111341010",0,0,0,0,0,0,0,0,0,0
"LOC111332897",0,0,0,0,0,0,0,0,0,1
"LOC111338919",1,1,1,0,0,0,2,0,0,0
"LOC111338064",0,0,0,0,0,0,0,0,0,0
"LOC111319553",0,1,0,0,0,1,0,0,2,0
"LOC111338152",0,2,0,0,0,0,0,0,0,0
"LOC111338246",0,0,0,0,0,0,0,1,0,0
"LOC111335131",32,17,7,0,7,5,13,11,9,15
"LOC111335284",178,209,32,14,50,76,92,110,90,127
"LOC111338332",0,0,2,0,2,3,1,1,0,1
"LOC111338423",2,0,0,0,0,1,0,2,2,4
"LOC111345124",2,5,0,1,3,1,2,3,1,4
"LOC111320661",7,3,1,1,1,2,4,5,2,7
"LOC111340559",0,0,0,0,0,0,0,0,0,1
"LOC111343540",12,6,1,3,5,3,2,6,2,9
"LOC111342608",40,42,29,28,34,49,39,46,34,27
"LOC111338801",8,0,0,1,0,7,2,1,1,2
"LOC111339369",3,4,3,0,2,2,2,1,1,1
"LOC111330685",127,100,46,21,38,46,79,54,39,56
"LOC111339465",0,0,0,0,2,0,0,0,0,0
"LOC111339646",0,0,0,1,0,0,0,0,0,0
"LOC111340368",0,0,0,0,0,0,0,0,0,0
"LOC111321962",1,0,0,0,0,0,0,0,0,0
"LOC111321952",0,0,0,0,0,0,0,0,0,0
"LOC111320924",3,0,0,0,0,0,0,2,0,2
"LOC111321714",3,0,0,0,0,0,0,2,0,1
"LOC111320951",0,0,0,0,0,0,0,0,0,0
"LOC111320970",0,1,0,0,0,0,0,0,0,0
"LOC111320980",0,0,0,0,0,0,0,0,0,0
"LOC111320995",0,0,0,0,0,0,0,0,0,0
"LOC111321620",0,0,0,0,0,0,0,0,0,0
