no,area µm²,perimeter µm,area_mm²,perim_mm,Volume mm³,morph,file name,,if error to check for bad imaging,
73,815341.071,4693.187,0.8153,4.6932,0.2510,HF,01-04-2025-1548_Stemi 305_0.8x_HF-02,good for photo,0.2510,
74,977535.631,4160.835,0.9775,4.1608,0.4476,HF,01-04-2025-1548_Stemi 305_0.8x_HF-02,,0.4476,
75,1025302.363,5064.886,1.0253,5.0649,0.3723,HF,01-04-2025-1548_Stemi 305_0.8x_HF,,0.3723,
76,1119543.072,5112.196,1.1195,5.1122,0.4454,HF,01-04-2025-1548_Stemi 305_0.8x_HF,,0.4454,
77,993180.181,5198.732,0.9932,5.1987,0.3359,HF,01-04-2025-1548_Stemi 305_0.8x_HF,,0.3359,
78,980298.389,4656.504,0.9803,4.6565,0.3790,HF,01-04-2025-1547_Stemi 305_0.8x_HF-02,,0.3790,
79,1033266.989,4870.596,1.0333,4.8706,0.3995,HF,01-04-2025-1547_Stemi 305_0.8x_HF,,0.3995,
80,1192562.572,4518.981,1.1926,4.5190,0.6207,HF,01-04-2025-1547_Stemi 305_0.8x_HF,good for photo,0.6207,
81,1015450.042,5040.171,1.0155,5.0402,0.3670,HF,01-04-2025-1547_Stemi 305_0.8x_HF,,0.3670,
82,961747.712,4742.971,0.9617,4.7430,0.3541,HF,01-04-2025-1547_Stemi 305_0.8x_HF,,0.3541,
83,894338.996,4411.321,0.8943,4.4113,0.3342,HF,01-04-2025-1547_Stemi 305_0.8x_HF,,0.3342,
84,850401.846,4475.485,0.8504,4.4755,0.2930,HF,01-04-2025-1547_Stemi 305_0.8x_HF,,0.2930,
85,1065072.288,4721.774,1.0651,4.7218,0.4467,HF,01-04-2025-1545_Stemi 305_0.8x_HF-03,good for photo,0.4467,
86,916124.47,4749.077,0.9161,4.7491,0.3179,HF,01-04-2025-1545_Stemi 305_0.8x_HF-03,,0.3179,
87,1001269.624,5022.53,1.0013,5.0225,0.3577,HF,01-04-2025-1545_Stemi 305_0.8x_HF-03,,0.3577,
88,885692.79,3998.599,0.8857,3.9986,0.3799,HF,01-04-2025-1545_Stemi 305_0.8x_HF-03,,0.3799,
89,898064.824,3991.277,0.8981,3.9913,0.3936,HF,01-04-2025-1545_Stemi 305_0.8x_HF-03,,0.3936,
90,856525.918,4342.951,0.8565,4.3430,0.3105,HF,01-04-2025-1545_Stemi 305_0.8x_HF-03,,0.3105,
91,1189634.06,5501.118,1.1896,5.5011,0.4602,HF,01-04-2025-1545_Stemi 305_0.8x_HF-02,,0.4602,
92,866543.205,3918.139,0.8665,3.9181,0.3735,HF,01-04-2025-1545_Stemi 305_0.8x_HF,,0.3735,
93,1038959.155,5050.536,1.0390,5.0505,0.3847,HF,01-04-2025-1545_Stemi 305_0.8x_HF,,0.3847,
94,1113758.146,5092.967,1.1138,5.0930,0.4427,HF,01-04-2025-1544_Stemi 305_0.8x_HF,good for photo,0.4427,
95,918310.72,4631.009,0.9183,4.6310,0.3308,NF,01-04-2025-1801_Stemi 305_0.8x_NF,,0.3308,
96,702959.548,3835.03,0.7030,3.8350,0.2396,NF,01-04-2025-1800_Stemi 305_0.8x_NF-04,,0.2396,
97,871064.64,4189.893,0.8711,4.1899,0.3398,NF,01-04-2025-1800_Stemi 305_0.8x_NF-04,,0.3398,
98,775586.085,3957.218,0.7756,3.9572,0.2851,NF,01-04-2025-1800_Stemi 305_0.8x_NF-03,good for photo,0.2851,
99,909815.011,4227.613,0.9098,4.2276,0.3699,NF,01-04-2025-1800_Stemi 305_0.8x_NF-02,good for photo,0.3699,
100,1156441.307,4795.644,1.1564,4.7956,0.5251,NF,01-04-2025-1800_Stemi 305_0.8x_NF,,0.5251,
101,937068.809,4414.195,0.9371,4.4142,0.3704,NF,01-04-2025-1800_Stemi 305_0.8x_NF,,0.3704,
102,777588.81,4193.79,0.7776,4.1938,0.2636,NF,01-04-2025-1759_Stemi 305_0.8x_NF-04,,0.2636,
103,936296.497,4428.098,0.9363,4.4281,0.3680,NF,01-04-2025-1759_Stemi 305_0.8x_NF-03,good for photo,0.3680,
104,848434.383,3848.301,0.8484,3.8483,0.3664,NF,01-04-2025-1759_Stemi 305_0.8x_NF-02,,0.3664,
105,791605.717,3911.816,0.7916,3.9118,0.3039,NF,01-04-2025-1759_Stemi 305_0.8x_NF,,0.3039,
106,780409.37,3946.442,0.7804,3.9464,0.2903,NF,01-04-2025-1759_Stemi 305_0.8x_NF,,0.2903,
107,824803.189,4480.309,0.8248,4.4803,0.2737,NF,01-04-2025-1757_Stemi 305_0.8x_NF-02,,0.2737,
108,934169.845,4445.087,0.9342,4.4451,0.3641,NF,01-04-2025-1757_Stemi 305_0.8x_NF,,0.3641,
