ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0007034,vacuolar transport,2/257,125/8488,0.016,0.528435798,-0.938495402,0.896697747,0.980022412,0.839548875,LOC111342143/LOC111342147,2
GO:1903522,regulation of blood circulation,2/257,125/8488,0.016,0.528435798,-0.938495402,0.896697747,0.980022412,0.839548875,LOC111322288/LOC111326058,2
GO:0016773,"phosphotransferase activity, alcohol group as acceptor",7/257,341/8488,0.020527859,0.677978479,-1.072458732,0.897462729,0.980022412,0.839548875,LOC111328393/LOC111324192/LOC111323862/LOC111322288/LOC111333478/LOC111339275/LOC111338817,7
GO:0098796,membrane protein complex,11/257,498/8488,0.022088353,0.729517291,-1.099254244,0.896049858,0.980022412,0.839548875,LOC111327082/LOC111333986/LOC111335366/LOC111328749/LOC111335693/LOC111333901/LOC111323636/LOC111342546/LOC111328517/LOC111334113/LOC111340596,11
GO:0007617,mating behavior,1/257,75/8488,0.013333333,0.440363165,-0.860159205,0.901353306,0.981277866,0.840624376,LOC111334761,1
GO:0009063,amino acid catabolic process,1/257,75/8488,0.013333333,0.440363165,-0.860159205,0.901353306,0.981277866,0.840624376,LOC111327210,1
GO:0035082,axoneme assembly,1/257,75/8488,0.013333333,0.440363165,-0.860159205,0.901353306,0.981277866,0.840624376,LOC111331389,1
GO:0070062,extracellular exosome,1/257,75/8488,0.013333333,0.440363165,-0.860159205,0.901353306,0.981277866,0.840624376,LOC111336828,1
GO:0030031,cell projection assembly,7/257,343/8488,0.020408163,0.674025252,-1.088937203,0.900689196,0.981277866,0.840624376,LOC111322288/LOC111335693/LOC111331389/LOC111333478/LOC111340398/LOC111339275/LOC111328517,7
GO:0000122,negative regulation of transcription by RNA polymerase II,8/257,383/8488,0.020887728,0.689863966,-1.097469523,0.900257239,0.981277866,0.840624376,LOC111322288/LOC111338776/LOC111325851/LOC111326942/LOC111333767/LOC111324368/LOC111320928/LOC111344472,8
GO:0000077,DNA damage checkpoint signaling,1/257,76/8488,0.013157895,0.434568913,-0.874891523,0.904366762,0.983135244,0.842215522,LOC111340883,1
