,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Expression,NCBI.GeneID,Symbol,Description,Gene.Type,Annotation.Genomic.Range.Accession,SwissProt.Accessions
44,150.2057563,-1.501805266,0.276886102,-5.423909882,5.83E-08,1.25E-05,Non-fluorescent,111346562,LOC111346562,uncharacterized LOC111346562,PROTEIN_CODING,NW_019217784.1,
45,33.27452705,3.935695731,0.72562666,5.423857676,5.83E-08,1.25E-05,Fluorescent,111340635,LOC111340635,angiopoietin-related protein 7-like,PROTEIN_CODING,NW_019217796.1,
46,22.5632777,2.467049133,0.454630707,5.426490319,5.75E-08,1.25E-05,Fluorescent,111334934,LOC111334934,transforming growth factor-beta-induced protein ig-h3-like,PROTEIN_CODING,NW_019218042.1,
47,14.08746997,-2.48605417,0.462853584,-5.371145992,7.82E-08,1.62E-05,Non-fluorescent,111323092,LOC111323092,palmitoyltransferase AKR1-like,PROTEIN_CODING,NW_019217828.1,
48,13.96137833,2.829985804,0.526982393,5.370171451,7.87E-08,1.62E-05,Fluorescent,111338219,LOC111338219,MAM and LDL-receptor class A domain-containing protein 1-like,PROTEIN_CODING,NW_019218144.1,
49,25.80903572,2.47025753,0.461537176,5.35223956,8.69E-08,1.72E-05,Fluorescent,111345167,LOC111345167,uncharacterized LOC111345167,ncRNA,NW_019218613.1,
50,19.08560819,2.370314434,0.446548301,5.308080738,1.11E-07,2.15E-05,Fluorescent,111333735,LOC111333735,hemicentin-1-like,PROTEIN_CODING,NW_019218010.1,
51,8.522293477,4.356076587,0.82379521,5.287814902,1.24E-07,2.27E-05,Fluorescent,111328831,LOC111328831,uncharacterized LOC111328831,PROTEIN_CODING,NW_019217906.1,
52,10.28679445,3.10113721,0.58618561,5.290367346,1.22E-07,2.27E-05,Fluorescent,111330856,LOC111330856,cysteine-rich motor neuron 1 protein-like,PROTEIN_CODING,NW_019217944.1,
53,15.60755723,2.797034379,0.528901675,5.288382532,1.23E-07,2.27E-05,Fluorescent,111335460,LOC111335460,uncharacterized LOC111335460,PROTEIN_CODING,NW_019218056.1,
54,145.5670927,-1.016738046,0.192755071,-5.274766793,1.33E-07,2.39E-05,Non-fluorescent,111336828,LOC111336828,solute carrier family 12 member 1-like,PROTEIN_CODING,NW_019218098.1,
55,9.572118813,3.297526698,0.626919581,5.259887869,1.44E-07,2.55E-05,Fluorescent,111319860,LOC111319860,low-density lipoprotein receptor-related protein 6-like,PROTEIN_CODING,NW_019217803.1,
56,11.79084731,2.8768028,0.547812712,5.251434911,1.51E-07,2.62E-05,Fluorescent,111332739,LOC111332739,"sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1-like",PROTEIN_CODING,NW_019217791.1,
57,46.88450892,1.916923839,0.368206047,5.206117214,1.93E-07,3.29E-05,Fluorescent,111343259,LOC111343259,piggyBac transposable element-derived protein 4-like,PROTEIN_CODING,NW_019218407.1,
58,41.84615073,2.182163826,0.420029067,5.195268602,2.04E-07,3.43E-05,Fluorescent,111337461,LOC111337461,glutamic acid-rich protein-like,PROTEIN_CODING,NW_019218118.1,
59,31.20042014,1.949020793,0.37901542,5.142325858,2.71E-07,4.48E-05,Fluorescent,111334459,LOC111334459,vacuolar protein sorting-associated protein 13D-like,PROTEIN_CODING,NW_019218028.1,
60,61.90793538,-1.304691592,0.254706254,-5.122338262,3.02E-07,4.90E-05,Non-fluorescent,111328662,LOC111328662,nucleolin-like,PROTEIN_CODING,NW_019217903.1,
61,119.0834675,1.651875491,0.323666292,5.103637702,3.33E-07,5.32E-05,Fluorescent,111342023,LOC111342023,receptor-type tyrosine-protein phosphatase epsilon-like,PROTEIN_CODING,NW_019218319.1,
62,58.62400203,3.11519564,0.611620498,5.093347343,3.52E-07,5.53E-05,Fluorescent,111346891,LOC111346891,heme-binding protein 2-like,PROTEIN_CODING,NW_019218988.1,
63,75.58902546,3.06927329,0.604068455,5.081002436,3.75E-07,5.81E-05,Fluorescent,111324621,LOC111324621,neuronal pentraxin-1-like,PROTEIN_CODING,NW_019217845.1,
64,45.55097927,2.055749771,0.405627991,5.068066837,4.02E-07,6.12E-05,Fluorescent,111320781,LOC111320781,collagen alpha-1(VII) chain-like,PROTEIN_CODING,NW_019217805.1,
