ID,Description,p.adjust,mean_logFC,n_genes_matched,contrast,z_logFC,Description_ordered
GO:0090596,sensory organ morphogenesis,0.02071329222925609,2.176795931735285,18,FLvNF,0.08157869742288489,sensory organ morphogenesis
GO:0097374,sensory neuron axon guidance,0.04861330139558764,2.268632287439443,3,FLvNF,0.2670294563865047,sensory neuron axon guidance
GO:0097485,neuron projection guidance,0.00105309482079633,2.200266387308,20,FLvNF,0.1289740210483498,neuron projection guidance
GO:0098743,cell aggregation,6.340523744128939e-5,2.5220529911864316,7,FLvNF,0.7787773528118618,cell aggregation
GO:0099054,presynapse assembly,0.04861330139558764,2.568763522809797,3,FLvNF,0.8731027806310221,presynapse assembly
GO:1900047,negative regulation of hemostasis,0.00438845423444507,1.8725473334457199,4,FLvNF,-0.5328090690971534,negative regulation of hemostasis
GO:1902043,positive regulation of extrinsic apoptotic signaling pathway via death domain receptors,0.04248595872087747,2.2415041800499034,3,FLvNF,0.21224801317633005,positive regulation of extrinsic apoptotic signaling pathway via death domain receptors
GO:1902667,regulation of axon guidance,0.04069010908187207,2.1696918697200016,6,FLvNF,0.06723303134807881,regulation of axon guidance
GO:1903034,regulation of response to wounding,0.00109013599747276,2.0523530655925417,12,FLvNF,-0.16971637844144472,regulation of response to wounding
GO:1903035,negative regulation of response to wounding,1.040031036115476e-4,1.94138506896597,9,FLvNF,-0.39380082775652586,negative regulation of response to wounding
GO:1903317,regulation of protein maturation,0.00284801415964472,2.5239294121268614,8,FLvNF,0.7825665241576732,regulation of protein maturation
GO:1905048,regulation of metallopeptidase activity,0.04861330139558764,2.2415041800499034,3,FLvNF,0.21224801317633005,regulation of metallopeptidase activity
GO:1905049,negative regulation of metallopeptidase activity,0.03029287961713511,2.2415041800499034,3,FLvNF,0.21224801317633005,negative regulation of metallopeptidase activity
GO:1905952,regulation of lipid localization,0.01070436814392778,2.0571841355107088,10,FLvNF,-0.1599607040567105,regulation of lipid localization
GO:1905954,positive regulation of lipid localization,0.00231678840829873,2.14611153664241,8,FLvNF,0.01961582536985494,positive regulation of lipid localization
GO:1990314,cellular response to insulin-like growth factor stimulus,0.03029287961713511,2.43644230782729,3,FLvNF,0.6058984740430678,cellular response to insulin-like growth factor stimulus
GO:2001236,regulation of extrinsic apoptotic signaling pathway,0.01122426953364497,2.065161777333978,9,FLvNF,-0.14385096495043423,regulation of extrinsic apoptotic signaling pathway
