plot_term,mean_logp,n_terms,mean_logFC
limb morphogenesis,2.026997095320052,1,2.277517129239009
lipid transport,2.0981376539065186,1,1.875571063018123
lipoprotein particle receptor binding,1.3485314074665824,1,1.5977068186996175
lysosome,1.435795205572668,1,2.0436944184962087
monocarboxylic acid transport,1.7227127978981944,1,1.9298480516765586
motor neuron axon guidance,4.14051725642493,1,2.273799189910675
negative regulation of axon extension,1.8414269725599341,1,2.0748569215871275
negative regulation of blood coagulation,2.357688426379193,1,1.8725473334457199
negative regulation of cell adhesion,2.8543674398488945,1,2.0709590235114392
negative regulation of cell-cell adhesion,1.9690736205799038,1,2.1190952225660324
negative regulation of chemotaxis,2.75177772750567,1,2.547735678508288
negative regulation of coagulation,2.357688426379193,1,1.8725473334457199
negative regulation of fibroblast proliferation,1.8414269725599341,1,1.6724051589562925
negative regulation of hemostasis,2.357688426379193,1,1.8725473334457199
negative regulation of locomotion,1.9690736205799038,1,2.4479983121547724
negative regulation of metallopeptidase activity,1.518659441015468,1,2.2415041800499034
negative regulation of response to external stimulus,2.629419926945211,1,2.210745157001318
negative regulation of response to wounding,3.9829537004968207,1,1.94138506896597
negative regulation of striated muscle tissue development,1.3485314074665824,1,2.78417218388186
negative regulation of wound healing,2.2745382982189497,1,1.869202647025606
nerve growth factor binding,1.3485314074665824,1,2.55768373058893
neuron projection guidance,2.97753252312161,1,2.200266387308
neuron projection morphogenesis,2.5149788469422067,1,2.246840239911354
neuron recognition,3.6548728008334628,1,2.3549872095961577
neuronal cell body,1.544886119226425,1,2.0601153645703687
odontogenesis,2.011396806849692,1,1.993367798616745
odontogenesis of dentin-containing tooth,1.6375208863064972,1,2.0858256423312933
organic hydroxy compound transport,1.5389251004722018,1,1.7740174435169782
platelet-derived growth factor binding,5.93762787007247,1,2.2161239567674826
positive regulation of G protein-coupled receptor signali...,1.4797963323171435,1,2.6128952727170374
positive regulation of cartilage development,1.3132448843934628,1,2.9750894508462
positive regulation of extrinsic apoptotic signaling path...,1.3717545771875674,1,2.2415041800499034
positive regulation of lipid localization,2.63511362840443,1,2.14611153664241
positive regulation of lipid storage,1.3485314074665824,1,2.45047039068873
positive regulation of transmembrane receptor protein ser...,1.9690736205799038,1,2.4988474342695
positive regulation of vascular endothelial growth factor...,1.518659441015468,1,2.807110115262083
presynapse assembly,1.3132448843934628,1,2.568763522809797
protease binding,1.7529823391247854,1,2.1063533959356144
proteoglycan binding,2.0471073903902792,1,1.859325630066536
receptor complex,1.3485314074665824,1,1.765097535687922
receptor ligand activity,2.9021042824992254,1,2.18714556887413
regulation of BMP signaling pathway,1.7529823391247854,1,2.2456721609430343
regulation of axon extension involved in axon guidance,1.9977455720606292,1,2.059936294392152
regulation of axon guidance,1.3905111458903467,1,2.1696918697200016
regulation of cell adhesion,2.4095647143981958,1,1.8825480613584538
regulation of cell-cell adhesion,1.490391360793345,1,1.9369917771838556
regulation of chemotaxis,1.7227127978981944,1,2.314428315089068
regulation of epithelial cell proliferation,1.3858816678856951,1,2.215045804709141
regulation of extrinsic apoptotic signaling pathway,1.9498419129375355,1,2.065161777333978
regulation of fibroblast proliferation,1.4758533237836904,1,1.7321749465810117
regulation of lipid localization,1.9704389630920398,1,2.0571841355107088
regulation of lipid transport,1.9463764880320014,1,1.7425653584781071
regulation of metallopeptidase activity,1.3132448843934628,1,2.2415041800499034
regulation of protein maturation,2.5454578558215997,1,2.5239294121268614
regulation of protein processing,1.998737026401395,1,2.600954468393577
regulation of response to external stimulus,1.7227127978981944,1,2.223202851453212
regulation of response to wounding,2.9625193192449855,1,2.0523530655925417
regulation of signaling receptor activity,2.011396806849692,1,2.194021011718768
regulation of transmembrane receptor protein serine/threo...,2.5149788469422067,1,2.2931954946588102
regulation of wound healing,1.3030659962939217,1,1.8978188181413
response to BMP,1.480908697706982,1,2.267668883653128
response to amino acid,1.6143302770667833,1,2.2176609965952
response to estrogen,2.2504866007658992,1,2.4728942447837956
response to folic acid,1.4530751197552987,1,2.2415041800499034
response to growth factor,1.4797963323171435,1,2.212674131787232
response to hormone,2.66885817589276,1,2.0670463163979336
response to lipid,1.6793052666637691,1,2.1802144752506343
response to metal ion,1.3485314074665824,1,2.5482664848667884
response to nicotine,1.3485314074665824,1,2.715885296977345
response to nutrient,1.8859887574089687,1,2.2162967017369657
response to parathyroid hormone,1.3132448843934628,1,2.43644230782729
response to peptide hormone,1.3545048312851504,1,1.9238598790006336
response to vitamin,2.771272975260287,1,2.5383154343022927
response to vitamin E,1.3717545771875674,1,2.43644230782729
response to wounding,3.014700534464534,1,2.106474840580248
secretory granule lumen,2.771272975260287,1,2.2759794682600574
sensory neuron axon guidance,1.3132448843934628,1,2.268632287439443
sensory organ morphogenesis,1.683750867626824,1,2.176795931735285
skeletal system morphogenesis,1.9580635141347151,1,2.498508972419677
structural molecule activity,9.882590076227773,1,2.018746567098361
taxis,4.410545730742225,1,2.2721490695778224
"tracheal outgrowth, open tracheal system",1.518659441015468,1,2.006955698587395
vacuolar lumen,2.785775162798548,1,2.1665983725033757
vesicle lumen,3.4013256482008316,1,2.2439688402694995
wound healing,1.6793052666637691,1,2.185418990198867
