pathway,enriched_in,pval,padj,log2err,ES,NES,size,leadingEdge
Homo-/heterophilic binding of transmembrane components,HF,0.000121420335392702,0.00313091007691181,0.538434096309916,0.440592541603944,1.72988727400774,125,LOC111334416;LOC111323862;LOC111320024;LOC111338219;LOC111324621;LOC111338211;LOC111332308;LOC111335314;LOC111334640;LOC111321759;LOC111346591;LOC111342546;LOC111333893;LOC111346592;LOC111322245;LOC111328589;LOC111321308;LOC111341780;LOC111326113;LOC111338446;LOC111339858;LOC111324842;LOC111346590;LOC111324606;LOC111324986;LOC111335944;LOC111333431;LOC111341314;LOC111323861;LOC111340679;LOC111337210;LOC111337212;LOC111340556
Fatty acyl-CoA biosynthesis,HF,0.000234141137223153,0.0046958305854199,0.518848077743792,0.396419420665642,1.64053411004973,182,LOC111338999;LOC111346087;LOC111340822;LOC111340872;LOC111340194;LOC111335819;LOC111331622;LOC111326870;LOC111321012;LOC111344533;LOC111322183;LOC111321971;LOC111323872;LOC111325818;LOC111344495;LOC111323811;LOC111339718;LOC111323209;LOC111338532;LOC111339547;LOC111327165;LOC111331594;LOC111337639;LOC111323917;LOC111344538;LOC111345038;LOC111321023;LOC111333199;LOC111327696;LOC111321616;LOC111327447;LOC111328518;LOC111334973;LOC111334397;LOC111328638;LOC111329760;LOC111328754;LOC111330981;LOC111344377;LOC111332472;LOC111342271;LOC111330983;LOC111328618;LOC111327401;LOC111321964;LOC111321561;LOC111334379;LOC111328889;LOC111326936;LOC111335762;LOC111325151
Vitamin B2 (riboflavin) metabolism,HF,0.000254779277723772,0.00484080627675167,0.49849310876659,0.683107142984367,1.9668319781576,23,LOC111328024;LOC111321463;LOC111333580;LOC111320759;LOC111338464;LOC111331497;LOC111321416;LOC111324377;LOC111340131;LOC111322101;LOC111321385;LOC111325614
Organic anion transport by SLCO transporters,HF,0.000295114094973849,0.00532680941427797,0.49849310876659,0.507183864796117,1.85409180886321,76,LOC111330589;LOC111340820;LOC111345133;LOC111327414;LOC111327248;LOC111337259;LOC111343966;LOC111336432;LOC111340840;LOC111328589;LOC111341071;LOC111328603;LOC111340611;LOC111343971;LOC111325097;LOC111331583;LOC111331621;LOC111323810;LOC111330860;LOC111324986;LOC111321669;LOC111330456;LOC111344147;LOC111329100;LOC111325563;LOC111337038;LOC111338896;LOC111344897;LOC111329879;LOC111330115
Calnexin/calreticulin cycle,HF,0.000436308640993013,0.00638661722206087,0.49849310876659,0.486747800801637,1.7669449369452,73,LOC111334416;LOC111320024;LOC111338219;LOC111324621;LOC111338211;LOC111332308;LOC111346591;LOC111342546;LOC111346592;LOC111328589;LOC111321308;LOC111326113;LOC111338446;LOC111339858;LOC111346590;LOC111324606;LOC111324986;LOC111335944;LOC111333431;LOC111341314;LOC111340679;LOC111337210;LOC111337212
Physiological factors,HF,0.000442286511223052,0.00638661722206087,0.49849310876659,0.493681825654577,1.75393261042202,65,LOC111325264;LOC111340872;LOC111340194;LOC111335819;LOC111321502;LOC111321012;LOC111321971;LOC111323811;LOC111339547;LOC111345515;LOC111327165;LOC111337639;LOC111327696;LOC111321616;LOC111327447;LOC111334397;LOC111332678;LOC111332472;LOC111342271;LOC111326936;LOC111335762;LOC111325151
Ethanol oxidation,HF,0.000511258933946136,0.00709863365979059,0.477270815362862,0.416404999905707,1.63638045862872,126,LOC111338999;LOC111346087;LOC111340822;LOC111331664;LOC111346320;LOC111331622;LOC111326870;LOC111322183;LOC111323872;LOC111325818;LOC111344495;LOC111339718;LOC111323209;LOC111338532;LOC111328832;LOC111339547;LOC111331594;LOC111323917;LOC111345038;LOC111321023;LOC111333199;LOC111328518;LOC111334973;LOC111328638;LOC111340554;LOC111329760;LOC111328754;LOC111329261;LOC111330981;LOC111333941;LOC111344377;LOC111330983;LOC111328618;LOC111327401;LOC111321964;LOC111321561;LOC111328889
SLC-mediated transport of organic cations,HF,0.000615522622430343,0.00822976543323533,0.477270815362862,0.469101039316057,1.72722363107649,80,LOC111330589;LOC111340820;LOC111345133;LOC111327414;LOC111327248;LOC111337259;LOC111336432;LOC111340840;LOC111344472;LOC111341071;LOC111340611;LOC111345422;LOC111325097;LOC111331621;LOC111323810;LOC111330860;LOC111324986;LOC111342489;LOC111321669;LOC111330456;LOC111344147;LOC111328363
RA biosynthesis pathway,HF,0.000858614348254424,0.0103319926573282,0.477270815362862,0.417998559372805,1.6310711962179,121,LOC111338999;LOC111346087;LOC111340822;LOC111327303;LOC111331622;LOC111326870;LOC111322183;LOC111323872;LOC111327254;LOC111325818;LOC111344495;LOC111339718;LOC111323209;LOC111338532;LOC111339547;LOC111331594;LOC111323917;LOC111345038;LOC111321023;LOC111333199;LOC111328518;LOC111334973;LOC111328638;LOC111329760;LOC111328754;LOC111330088;LOC111330981;LOC111344377;LOC111330983;LOC111328618;LOC111327401;LOC111321964;LOC111321561;LOC111328889;LOC111337585
Transport of RCbl within the body,HF,0.000842614822950105,0.0103319926573282,0.477270815362862,0.572759568025623,1.84240210850089,38,LOC111328748;LOC111329099;LOC111319860;LOC111327252;LOC111331324;LOC111328749;LOC111331279;LOC111327334;LOC111321680;LOC111323636;LOC111346591;LOC111327524;LOC111323194;LOC111328184;LOC111320993;LOC111333431
